,Project Name,Address,City,State,Part 3 Approval,Total Project Costs,2010 Census Tract,Region
220,Hotel Fort Shelby,525 West Lafayette,Detroit,MI,2009-07-22,83390000.0,,Detroit
221,Gillman House,61 Peterboro,Detroit,MI,2009-11-26,1330942.0,,Detroit
222,Odd Fellows Hall,8701-8711 West Vernor Highway,Detroit,MI,2009-12-07,4229361.0,,Detroit
223,Louise Spencer House,39 Peterboro Street,Detroit,MI,2009-12-10,1251578.0,,Detroit
224,52 East Forest,52 East Forest,Detroit,MI,2010-04-28,2370653.0,,Detroit
225,General Motors Research Laboratory,485 & 495 Milwaukee Avenue,Detroit,MI,2010-07-27,125821466.0,,Detroit
226,Lafer Building,1323-1325 Broadway Avenue,Detroit,MI,2010-10-21,4278748.0,,Detroit
227,Beethoven Apartments,4474 Third Avenue,Detroit,MI,2010-11-23,4186591.0,,Detroit
228,Garfield Manor Apartments,71 Garfield Avenue,Detroit,MI,2011-04-22,7640753.0,,Detroit
229,4107 Cass Avenue,4107 Cass Avenue,Detroit,MI,2011-12-29,819201.0,,Detroit
230,Second & Lothrop Apartment Building,"7409, 7411, 7415 &7417 SEcond Avenue",Detroit,MI,2012-04-05,1049839.0,,Detroit
231,Standard Oil Company Gas SErvice Station,3169 Woodward,Detroit,MI,2012-04-20,457526.0,,Detroit
232,Newberry Hall,100 East Willis,Detroit,MI,2012-06-01,5802464.0,,Detroit
233,Parker Pharmacy,3961-65 Woodward Avenue,Detroit,MI,2012-09-19,896775.0,,Detroit
234,The David Broderick Tower,10 Witherell,Detroit,MI,2013-02-21,52300000.0,,Detroit
235,Detroit Candy Company Building,1528 Gratiot Avenue,Detroit,MI,2013-05-23,816333.0,,Detroit
236,Sherbrooke Apartments,615-617 W. Hancock,Detroit,MI,2013-05-24,2371259.0,,Detroit
237,Michigan Bell & Western Electric Warehouse,882 Oakman Boulevard (Aka 14300 Woodrow Wilson),Detroit,MI,2013-09-20,39944793.0,,Detroit
238,Sheldor Apartments,1025 NEwport,Detroit,MI,2013-11-06,2812327.0,,Detroit
239,Chalmers Building,14436 E. Jefferson Avenue,Detroit,MI,2013-11-07,2959932.0,,Detroit
240,La Vogue Apartments,225 Merton Road,Detroit,MI,2013-11-07,4941621.0,,Detroit
241,Chase Tower,611 Woodward,Detroit,MI,2013-11-26,36000000.0,,Detroit
242,Kensington Apartments,1085 Van Dyke,Detroit,MI,2013-12-11,4296289.0,,Detroit
243,Crestwood Apartments,1099 Van Dyke,Detroit,MI,2013-12-13,4296288.0,,Detroit
244,Charles Rischert Bakery,2919-21 Woodward Avenue,Detroit,MI,2014-06-30,1404193.0,,Detroit
245,Garden Theater,3933 Woodward Avenue,Detroit,MI,2014-06-30,7957095.0,,Detroit
246,E & B Brewery Lofts,1551 Winder,Detroit,MI,2014-10-10,6053531.0,,Detroit
247,Brentwood Apartments,487 Prentis,Detroit,MI,2014-11-18,1659170.0,,Detroit
248,The SEcurity Trust Company Building,735 Griswold,Detroit,MI,2014-12-03,2295893.0,,Detroit
249,502 West North Avenue,502 West North Avenue,Pittsburgh,PA,2009-02-02,405966.0,,Pittsburgh
250,The Blacksmith Shop,900 Middle Street,Pittsburgh,PA,2009-02-05,76000.0,,Pittsburgh
251,924 Mellon Street,924 Mellon Street,Pittsburgh,PA,2009-07-29,678025.0,,Pittsburgh
252,825 N. NEgley Avenue,825 N. NEgley Avenue,Pittsburgh,PA,2009-07-29,683081.0,,Pittsburgh
253,5701 Jackson Street,5701 Jackson Street,Pittsburgh,PA,2009-07-29,686833.0,,Pittsburgh
254,5700-5704 Jackson Street,5700-5704 Jackson Street,Pittsburgh,PA,2009-07-29,1723383.0,,Pittsburgh
255,Springfield School,3080 Smallman Street,Pittsburgh,PA,2010-02-02,2770000.0,,Pittsburgh
256,Century Building,130 SEventh Street,Pittsburgh,PA,2010-03-03,13479043.0,,Pittsburgh
